,user_id,movie_id,rating,like,movie title
1,115,302,4,True,L.A. Confidential
6,145,302,4,True,L.A. Confidential
8,271,302,5,True,L.A. Confidential
11,90,302,5,True,L.A. Confidential
12,13,302,5,True,L.A. Confidential
13,26,302,5,True,L.A. Confidential
16,232,302,5,True,L.A. Confidential
21,14,302,5,True,L.A. Confidential
25,144,302,3,False,L.A. Confidential
26,191,302,4,True,L.A. Confidential
27,207,302,4,True,L.A. Confidential
29,10,302,4,True,L.A. Confidential
31,197,302,3,False,L.A. Confidential
33,134,302,2,False,L.A. Confidential
36,111,302,5,True,L.A. Confidential
39,63,302,3,False,L.A. Confidential
41,6,302,4,True,L.A. Confidential
42,107,302,4,True,L.A. Confidential
43,173,302,5,True,L.A. Confidential
45,208,302,1,False,L.A. Confidential
48,29,302,4,True,L.A. Confidential
49,102,302,3,False,L.A. Confidential
51,284,302,4,True,L.A. Confidential
53,210,302,5,True,L.A. Confidential
58,190,302,5,True,L.A. Confidential
60,100,302,4,True,L.A. Confidential
62,71,302,3,False,L.A. Confidential
66,315,302,5,True,L.A. Confidential
68,116,302,3,False,L.A. Confidential
71,112,302,4,True,L.A. Confidential
72,319,302,4,True,L.A. Confidential
74,40,302,3,False,L.A. Confidential
77,48,302,4,True,L.A. Confidential
80,328,302,4,True,L.A. Confidential
82,74,302,4,True,L.A. Confidential
83,158,302,4,True,L.A. Confidential
86,331,302,5,True,L.A. Confidential
87,329,302,5,True,L.A. Confidential
89,334,302,5,True,L.A. Confidential
92,339,302,4,True,L.A. Confidential
93,343,302,4,True,L.A. Confidential
94,39,302,5,True,L.A. Confidential
99,346,302,3,False,L.A. Confidential
104,192,302,5,True,L.A. Confidential
105,360,302,4,True,L.A. Confidential
106,370,302,5,True,L.A. Confidential
107,378,302,5,True,L.A. Confidential
109,380,302,5,True,L.A. Confidential
110,388,302,5,True,L.A. Confidential
113,146,302,4,True,L.A. Confidential
114,392,302,5,True,L.A. Confidential
117,47,302,5,True,L.A. Confidential
121,364,302,4,True,L.A. Confidential
122,383,302,4,True,L.A. Confidential
123,413,302,2,False,L.A. Confidential
129,423,302,5,True,L.A. Confidential
134,427,302,4,True,L.A. Confidential
142,454,302,4,True,L.A. Confidential
143,420,302,4,True,L.A. Confidential
144,458,302,5,True,L.A. Confidential
145,384,302,5,True,L.A. Confidential
147,430,302,4,True,L.A. Confidential
149,474,302,5,True,L.A. Confidential
150,464,302,5,True,L.A. Confidential
154,446,302,4,True,L.A. Confidential
157,480,302,4,True,L.A. Confidential
158,486,302,5,True,L.A. Confidential
162,489,302,5,True,L.A. Confidential
165,475,302,3,False,L.A. Confidential
166,515,302,3,False,L.A. Confidential
167,524,302,5,True,L.A. Confidential
173,526,302,5,True,L.A. Confidential
174,537,302,4,True,L.A. Confidential
175,547,302,5,True,L.A. Confidential
176,543,302,4,True,L.A. Confidential
177,520,302,3,False,L.A. Confidential
178,548,302,4,True,L.A. Confidential
180,560,302,5,True,L.A. Confidential
183,569,302,4,True,L.A. Confidential
184,574,302,4,True,L.A. Confidential
188,564,302,3,False,L.A. Confidential
191,605,302,4,True,L.A. Confidential
192,611,302,5,True,L.A. Confidential
194,616,302,5,True,L.A. Confidential
199,615,302,4,True,L.A. Confidential
200,634,302,5,True,L.A. Confidential
207,664,302,4,True,L.A. Confidential
208,656,302,3,False,L.A. Confidential
210,666,302,5,True,L.A. Confidential
211,673,302,3,False,L.A. Confidential
212,676,302,5,True,L.A. Confidential
217,669,302,4,True,L.A. Confidential
218,683,302,5,True,L.A. Confidential
225,651,302,5,True,L.A. Confidential
229,745,302,4,True,L.A. Confidential
230,743,302,5,True,L.A. Confidential
233,752,302,5,True,L.A. Confidential
235,762,302,5,True,L.A. Confidential
236,744,302,5,True,L.A. Confidential
238,784,302,5,True,L.A. Confidential
239,724,302,3,False,L.A. Confidential
240,788,302,4,True,L.A. Confidential
244,791,302,4,True,L.A. Confidential
245,802,302,4,True,L.A. Confidential
246,775,302,3,False,L.A. Confidential
252,808,302,5,True,L.A. Confidential
253,696,302,5,True,L.A. Confidential
254,833,302,3,False,L.A. Confidential
255,836,302,5,True,L.A. Confidential
258,772,302,5,True,L.A. Confidential
264,853,302,4,True,L.A. Confidential
266,841,302,5,True,L.A. Confidential
269,871,302,5,True,L.A. Confidential
272,883,302,5,True,L.A. Confidential
273,877,302,2,False,L.A. Confidential
274,845,302,3,False,L.A. Confidential
277,894,302,4,True,L.A. Confidential
279,842,302,5,True,L.A. Confidential
287,866,302,2,False,L.A. Confidential
288,931,302,4,True,L.A. Confidential
290,915,302,4,True,L.A. Confidential
291,934,302,4,True,L.A. Confidential
292,819,302,5,True,L.A. Confidential
293,874,302,5,True,L.A. Confidential
294,940,302,4,True,L.A. Confidential
295,926,302,4,True,L.A. Confidential
298,200,385,5,True,True Lies
300,308,385,4,True,True Lies
301,95,385,4,True,True Lies
303,290,385,4,True,True Lies
304,59,385,4,True,True Lies
305,42,385,5,True,True Lies
306,60,385,4,True,True Lies
308,194,385,2,False,True Lies
310,84,385,4,True,True Lies
311,85,385,3,False,True Lies
312,90,385,4,True,True Lies
313,13,385,3,False,True Lies
314,119,385,5,True,True Lies
317,83,385,4,True,True Lies
320,92,385,4,True,True Lies
324,207,385,3,False,True Lies
325,10,385,4,True,True Lies
327,197,385,2,False,True Lies
330,295,385,4,True,True Lies
331,137,385,5,True,True Lies
333,234,385,2,False,True Lies
340,8,385,1,False,True Lies
345,102,385,3,False,True Lies
346,87,385,5,True,True Lies
347,311,385,5,True,True Lies
348,7,385,5,True,True Lies
349,313,385,4,True,True Lies
351,279,385,4,True,True Lies
357,64,385,4,True,True Lies
360,318,385,4,True,True Lies
362,326,385,3,False,True Lies
363,328,385,3,False,True Lies
364,158,385,3,False,True Lies
367,343,385,3,False,True Lies
372,346,385,5,True,True Lies
375,378,385,4,True,True Lies
377,379,385,2,False,True Lies
378,374,385,4,True,True Lies
379,387,385,3,False,True Lies
380,385,385,1,False,True Lies
382,398,385,3,False,True Lies
395,452,385,4,True,True Lies
397,454,385,3,False,True Lies
398,455,385,3,False,True Lies
401,474,385,4,True,True Lies
403,479,385,2,False,True Lies
408,488,385,4,True,True Lies
413,506,385,4,True,True Lies
414,524,385,3,False,True Lies
416,533,385,4,True,True Lies
417,536,385,4,True,True Lies
418,537,385,2,False,True Lies
420,543,385,3,False,True Lies
422,538,385,3,False,True Lies
429,559,385,4,True,True Lies
430,600,385,3,False,True Lies
439,633,385,4,True,True Lies
444,638,385,5,True,True Lies
445,648,385,5,True,True Lies
447,643,385,3,False,True Lies
448,653,385,4,True,True Lies
449,650,385,4,True,True Lies
452,666,385,3,False,True Lies
453,659,385,5,True,True Lies
457,694,385,4,True,True Lies
463,749,385,3,False,True Lies
465,738,385,5,True,True Lies
469,780,385,4,True,True Lies
470,774,385,1,False,True Lies
472,766,385,3,False,True Lies
473,788,385,3,False,True Lies
474,804,385,4,True,True Lies
478,825,385,5,True,True Lies
479,830,385,4,True,True Lies
481,833,385,3,False,True Lies
482,843,385,3,False,True Lies
484,850,385,5,True,True Lies
488,881,385,4,True,True Lies
489,883,385,1,False,True Lies
492,890,385,4,True,True Lies
493,892,385,3,False,True Lies
496,897,385,3,False,True Lies
498,899,385,3,False,True Lies
502,932,385,2,False,True Lies
506,200,588,5,True,Beauty and the Beast
509,308,588,5,True,Beauty and the Beast
510,95,588,3,False,Beauty and the Beast
513,290,588,4,True,Beauty and the Beast
514,59,588,2,False,Beauty and the Beast
515,42,588,5,True,Beauty and the Beast
519,194,588,4,True,Beauty and the Beast
520,82,588,5,True,Beauty and the Beast
522,85,588,3,False,Beauty and the Beast
523,13,588,4,True,Beauty and the Beast
528,14,588,4,True,Beauty and the Beast
529,233,588,5,True,Beauty and the Beast
532,275,588,3,False,Beauty and the Beast
536,184,588,5,True,Beauty and the Beast
537,144,588,4,True,Beauty and the Beast
538,10,588,4,True,Beauty and the Beast
541,263,588,3,False,Beauty and the Beast
542,295,588,4,True,Beauty and the Beast
544,234,588,3,False,Beauty and the Beast
549,298,588,4,True,Beauty and the Beast
550,189,588,4,True,Beauty and the Beast
554,102,588,4,True,Beauty and the Beast
555,311,588,4,True,Beauty and the Beast
556,254,588,3,False,Beauty and the Beast
557,7,588,4,True,Beauty and the Beast
558,313,588,4,True,Beauty and the Beast
559,148,588,4,True,Beauty and the Beast
564,312,588,5,True,Beauty and the Beast
567,28,588,3,False,Beauty and the Beast
571,64,588,4,True,Beauty and the Beast
578,326,588,3,False,Beauty and the Beast
582,340,588,5,True,Beauty and the Beast
587,360,588,3,False,Beauty and the Beast
589,378,588,5,True,Beauty and the Beast
590,381,588,3,False,Beauty and the Beast
591,387,588,3,False,Beauty and the Beast
595,398,588,4,True,Beauty and the Beast
600,406,588,4,True,Beauty and the Beast
606,452,588,3,False,Beauty and the Beast
607,454,588,3,False,Beauty and the Beast
610,458,588,5,True,Beauty and the Beast
611,465,588,4,True,Beauty and the Beast
614,479,588,1,False,Beauty and the Beast
618,499,588,4,True,Beauty and the Beast
621,536,588,3,False,Beauty and the Beast
622,527,588,4,True,Beauty and the Beast
623,537,588,1,False,Beauty and the Beast
640,647,588,4,True,Beauty and the Beast
642,650,588,3,False,Beauty and the Beast
644,664,588,3,False,Beauty and the Beast
646,686,588,4,True,Beauty and the Beast
649,683,588,4,True,Beauty and the Beast
667,766,588,3,False,Beauty and the Beast
668,776,588,4,True,Beauty and the Beast
669,795,588,5,True,Beauty and the Beast
671,804,588,4,True,Beauty and the Beast
675,815,588,5,True,Beauty and the Beast
678,830,588,5,True,Beauty and the Beast
681,840,588,4,True,Beauty and the Beast
683,843,588,2,False,Beauty and the Beast
684,848,588,3,False,Beauty and the Beast
693,881,588,3,False,Beauty and the Beast
697,882,588,4,True,Beauty and the Beast
